Date,Home-team,Goals,Away-team
05-04-2024,Club Internacional de Fútbol Miami,2 - 2,Colorado Rapids
13-04-2024,SJ Earthquakes,0 - 3,Colorado Rapids
20-04-2024,Colorado Rapids,2 - 1,Dallas
26-04-2024,Cincinnati,2 - 1,Colorado Rapids
04-05-2024,New York City,0 - 2,Colorado Rapids
11-05-2024,Colorado Rapids,2 - 3,SJ Earthquakes
15-05-2024,Colorado Rapids,1 - 0,Vancouver Whitecaps
18-05-2024,Real Salt Lake,5 - 3,Colorado Rapids
25-05-2024,Colorado Rapids,3 - 3,Minnesota United
29-05-2024,Houston Dynamo,3 - 1,Colorado Rapids
01-06-2024,Vancouver Whitecaps,2 - 1,Colorado Rapids
15-06-2024,Colorado Rapids,2 - 0,Austin
19-06-2024,Saint Louis City,0 - 3,Colorado Rapids
22-06-2024,Colorado Rapids,4 - 1,Montreal Impact
29-06-2024,Los Angeles FC,3 - 0,Colorado Rapids
04-07-2024,Colorado Rapids,2 - 1,Sporting KC
07-07-2024,Colorado Rapids,4 - 1,Saint Louis City
13-07-2024,Colorado Rapids,1 - 1,New York RB
17-07-2024,LA Galaxy,3 - 2,Colorado Rapids
20-07-2024,Colorado Rapids,3 - 2,Real Salt Lake
31-08-2024,Dallas,2 - 3,Colorado Rapids
14-09-2024,Colorado Rapids,2 - 1,Portland Timbers
18-09-2024,Sporting KC,4 - 1,Colorado Rapids
21-09-2024,Colorado Rapids,2 - 0,Toronto
28-09-2024,Minnesota United,3 - 0,Colorado Rapids
02-10-2024,Colorado Rapids,1 - 3,LA Galaxy
05-10-2024,Colorado Rapids,0 - 1,Seattle Sounders FC
19-10-2024,Austin,3 - 2,Colorado Rapids
26-10-2024,LA Galaxy,5 - 0,Colorado Rapids
01-11-2024,Colorado Rapids,1 - 4,LA Galaxy
23-02-2024,Columbus Crew,1 - 0,Atlanta United
01-03-2024,Minnesota United,1 - 1,Columbus Crew
09-03-2024,Columbus Crew,2 - 1,Chicago Fire
15-03-2024,Columbus Crew,3 - 0,New York RB
22-03-2024,Charlotte,2 - 0,Columbus Crew
30-03-2024,Nashville SC (MLS),2 - 2,Columbus Crew
05-04-2024,Columbus Crew,1 - 1,DC United
13-04-2024,Real Salt Lake,0 - 0,Columbus Crew
19-04-2024,Columbus Crew,2 - 2,Portland Timbers
26-04-2024,Columbus Crew,0 - 0,Montreal Impact
10-05-2024,Columbus Crew,1 - 2,Cincinnati
14-05-2024,Montreal Impact,1 - 3,Columbus Crew
18-05-2024,Chicago Fire,1 - 3,Columbus Crew
24-05-2024,Orlando City SC,0 - 2,Columbus Crew
14-06-2024,New York City,2 - 3,Columbus Crew
18-06-2024,Club Internacional de Fútbol Miami,2 - 1,Columbus Crew
21-06-2024,Columbus Crew,4 - 0,Sporting KC
28-06-2024,New England,1 - 5,Columbus Crew
03-07-2024,Columbus Crew,2 - 0,Nashville SC (MLS)
05-07-2024,Columbus Crew,4 - 0,Toronto
13-07-2024,Los Angeles FC,1 - 5,Columbus Crew
16-07-2024,Columbus Crew,1 - 1,Charlotte
19-07-2024,Atlanta United,2 - 1,Columbus Crew
27-08-2024,Philadelphia Union,0 - 1,Columbus Crew
30-08-2024,Columbus Crew,4 - 2,New York City
06-09-2024,Columbus Crew,0 - 4,Seattle Sounders FC
13-09-2024,Cincinnati,0 - 0,Columbus Crew
17-09-2024,Toronto,0 - 2,Columbus Crew
20-09-2024,Columbus Crew,4 - 3,Orlando City SC
27-09-2024,DC United,2 - 2,Columbus Crew
01-10-2024,Columbus Crew,2 - 3,Club Internacional de Fútbol Miami
04-10-2024,Columbus Crew,3 - 2,Philadelphia Union
11-10-2024,Columbus Crew,4 - 0,New England
18-10-2024,New York RB,2 - 3,Columbus Crew
28-10-2024,Columbus Crew,0 - 1,New York RB
02-11-2024,New York RB,2 - 2,Columbus Crew
24-02-2024,DC United,3 - 1,New England
02-03-2024,Portland Timbers,2 - 2,DC United
09-03-2024,Cincinnati,0 - 0,DC United
15-03-2024,DC United,1 - 3,Club Internacional de Fútbol Miami
23-03-2024,Saint Louis City,2 - 2,DC United
29-03-2024,DC United,1 - 0,Montreal Impact
05-04-2024,Columbus Crew,1 - 1,DC United
12-04-2024,DC United,2 - 3,Orlando City SC
19-04-2024,New York City,2 - 0,DC United
26-04-2024,DC United,2 - 1,Seattle Sounders FC
03-05-2024,DC United,2 - 2,Philadelphia Union
10-05-2024,Atlanta United,2 - 3,DC United
14-05-2024,DC United,1 - 4,New York RB
18-05-2024,Club Internacional de Fútbol Miami,1 - 0,DC United
